Amount Awarded,Core Funding Area,Initiative,Project Duration,Region,summary,TWCF Number,url
"$425,839",Character Virtue Development,,4 February 2019 - 3 February 2022,South America,"Prosocial behavior can have positive impacts on both the individual and society. Studies show that fostering empathy, gratitude, forgiveness, and positive emotions in children and adolescents can inhibit aggressive behavior, improve the acceptance and integration of diversity, and enhance the meaningful interpersonal relations, while accelerating the development of social abilities and sense of community.This project will foster prosocial behavior in children and adolescents in five Latin American countries—Argentina, Colombia, Mexico, Peru, and Uruguay—through the use of two web-based programs, called Hero and Little Hero, consisting of a series of psycho-educational videos and activities. The subjects will include statistically similar sample and control populations in order to study the efficacy of the intervention during the experimental period and the subsequent three months.OutputsOutcomes",0275,https://www.templetonworldcharity.org/projects-database/hero-and-little-hero-two-technological-applications-promote-prosocial-behavior
"$133,845",Big Questions,Big Questions in Classrooms,1 February 2019 - 31 January 2021,Europe,"Religious education (RE) is by nature interdisciplinary, a trait that sets it apart from other fields of study. This project posits that RE has a distinctive contribution to make to the development of epistemic literacy in students.Epistemic literacy refers to capabilities that allow people to appreciate the distinct frameworks and systems of knowledge, methods, language, and data that pertain to particular disciplines. If students and teachers are to avoid misconceptions about how knowledge works and develop insights into specific knowledge forms present in RE, they must be able to develop epistemic literacy. Opportunities to do so help them navigate challenging and epistemologically complex questions that exist in the intersections of subject disciplines.Little research exists to support the epistemic literacy of RE teachers as they tackle the questions of meaning that lie between scientific and religious knowledge. Indeed, these questions are often dealt with in a superficial way. Based on their previous research, Joanne Pearce and Alexis Stones hold that RE is the ideal subject to promote epistemic literacy as a valid educational aim. Subject knowledge in religious education includes a breadth of perspectives: scientific, sociological, historical, psychological, cultural, philosophical, and theological. Because of its interdisciplinary, RE can help rectify this.The project will conduct mixed-methods research to access approximately 230 teachers and 300 students to learn from existing expertise and perceptions of epistemological understanding in the RE curriculum and classroom. It will identify where, how, and why good practice in epistemic literacy development occurs. Ultimately, the team hopes to use epistemic literacy to strengthen the case for the importance of RE in a rigorous, meaningful education.",0260,https://www.templetonworldcharity.org/projects-database/what-distinctive-contribution-does-religious-education-make-development-epistemic
"$191,022",Big Questions,Accelerating Research on Consciousness,28 January 2019 - 31 May 2020,Middle East,"Consciousness poses a striking paradox. On the one hand, it is the phenomenon we are most intimately familiar with. On the other, it is one of the most poorly understood.What are the mechanisms that give rise to consciousness? Extensive research has focused on this question and numerous theories.Directed by Liad Mudrik, this project aims to develop a novel paradigm to test the key predictions of several neuroscientific theories of consciousness.Using an engaging video game and presenting common stimuli in the background, the team will compare neural activity elicited by seen or unseen stimuli. A complementary experiment will examine these predictions for clearly visible and conscious stimuli over different durations.In the current project, the team will test and optimize a video game paradigm for consciousness studies and obtain behavioral, eye tracking, and fMRI data to validate the experimental procedure and optimize it based on the results.If successful, the project will produce an experimental paradigm and, in the future, make it freely accessible to researchers in the field. It will also produce a dataset to demonstrate the usefulness of this paradigm and how to carry it out.",0378,https://www.templetonworldcharity.org/projects-database/pilot-study-novel-paradigm-study-consciousness
"$1,542,155",Big Questions,Big Questions in Classrooms,15 January 2019 - 14 January 2022,Europe,"How can the English education system open its classrooms to big questions? What can it do to help young people access a range of ways to think about integration of knowledge across disciplines?Berry Billingsley aims research these questions by helping students and teachers engage with epistemic insight (EI). EI means ""knowledge about knowledge."" In particular, EI addresses knowledge about disciplines and how they interact. Previous research has shown that students express interest in big questions of the universe and our place in it. But pedagogical pressures and barriers dampen their enthusiasm. Without effective teaching in primary and secondary school to develop students’ appreciation, their interest in the frontiers of knowledge goes away.This project seeks to determine how teacher educators, trainee teachers, and established teachers can foster students’ interest in big questions and appreciation of the complex nature of reality. The team will provide teachers with the expertise and means to teach epistemic insight in each of three subject-related categories. It will also help them understand the ways that certain pedagogies can adversely affect students’ learning journeys.Three research sub-projects will target teaching in primary and secondary school (Key Stages 1 through 4). Each subproject is further divided into three research studies designed to take place either in the context of initial teacher education or school teaching. These sub-projects are supported by three components:Research findings and effective strategies will be published in a framework for education, Engaging with Big Questions and the Development of Epistemic Insight in School-Aged Children. The framework will include learning objectives relating to EI organized sequentially, from lower primary school through to upper secondary school. Although the primary context for this project is the education system in England, the team envisages that the research and strategies will be useful in other international contexts.",0225,https://www.templetonworldcharity.org/projects-database/epistemic-insight-initiative
"$204,530",Big Questions,Big Questions in Classrooms,1 January 2019 - 1 January 2021,Europe,"How can the concept of “how knowledge works” be best taught in UK schools?By conducting landscaping research, this project seeks to answer that question. It will consider the formal curriculum requirements, assess the state of current practice, and explore people’s perspectives on these issues. Research will involve a literature review, qualitative interviews, and a workshop with expert stakeholders.Moreover, the project will begin to develop a theory of change and an evaluative methodology for assessing the collective impact of grants in the Big Questions in Classrooms initiative (BQiC). The goal of this second strand is to help grantees effectively communicate the impact of their work in the context of strategically chosen portfolio of grants. NPC will work to clarify and amplify the narrative of BQiC. It will also gather, analyze, and communicate evidence of BQiC’s collective influence on teachers, students, and the education ecosystem in England.Outputs
The project’s ultimate goal is to provide information and evidence to encourage deeper consideration and engagement with the concept of “how knowledge works” in current science and religious education. To that end, it will produce a 40-page online report available to the public on NPC's website, on the potential for impact of philanthropic activities aimed to promote “how knowledge works.” It will also produce two short 10-page reports for BQiC grantees and other potential funders of Big Questions in Classrooms projects on collective theory of change and identification of a common indicator of change.",0371,https://www.templetonworldcharity.org/projects-database/how-knowledge-works-british-science-and-religious-education-considering-impact
"$233,428",Character Virtue Development,,1 January 2019 - 31 December 2020,North America,"The growing push for STEM (science, technology, engineering, and mathematics) education is born from the both the expanding frontiers of modern technology and the landscape of today’s job market. Teachers and administrators are steeping the classroom experience in computing to prepare even the youngest students for a technology-infused world. Unfortunately, this focus on STEM may have diverted attention from development of character strengths needed to form a whole person. Curiosity, creativity, and generosity are crucial to the development of better citizens and better human beings the same way that STEM is crucial to the development of the scientific and technically-sophisticated mind. The purpose of this project is to investigate how teachers might use a robotics program to integrate technical and character education.The pilot project will engage groups of kindergarten teachers from Buenos Aires and Boston, with classrooms representing a range of religious and secular schools. The teachers will be trained on developing six-week curricula integrating robotics. The project team will evaluate the teachers pre- and post-training, and will conduct longitudinal evaluation of the teachers’ students. The team will analyze change trajectories on the three character virtues through qualitative and quantitative methods, and will conduct a comparative analysis between the two study sites.At the end of the experiment, the team will bring educators together for an online conference where the educators will share their work and plan for sustainable and scalable efforts. Investigators will also evaluate and document the experience, and publish the results in academic journals. Results of the study will be available to the popular press.",0283,https://www.templetonworldcharity.org/projects-database/beyond-stem-development-virtues-early-childhood-education-through-robotics
"$217,817",Big Questions,,1 January 2019 - 30 June 2021,North America,"Scholars and researchers in the east and west have long puzzled over the incongruence between China’s Confucian heritage and a potential moral crisis in the country.Barriers to Empirical Study
This project addresses a number of challenges that have inhibited the empirical study of morality in China. These include, but are not limited to:Capacity-related challenges include a lack of communication and coordination between local and foreign scholars of relevant disciplines.The Solution
The goal of this project is to integrate current knowledge with recommended solutions, and plan for a series of empirical studies that would test specific hypotheses identified through the project. Project outputs will contribute to the outcome of setting a theoretically-justified, philosophically-aware empirical research agenda for understanding China’s contemporary moral landscape. This project will bring together a group of multidisciplinary and multicultural researchers to review current theoretical and methodological paradigms for studying morality in China. The group will identify the most promising hypotheses for empirical investigation.The grant proposes six steps:",0257,https://www.templetonworldcharity.org/projects-database/understanding-chinas-changing-moral-psychology
"$233,784",Character Virtue Development,Global Innovations for Character Development,1 January 2019 - 12 January 2021,South America,"Citizens of Central America’s Northern Triangle (El Salvador, Guatemala, and Honduras) face overwhelming challenges. Poverty and extreme violence hinder access to quality education and other necessities. But even in these marginalized communities lies remarkable resilience and vast human potential.Despite considerable data and research on character in developed countries, there is little research on character strengths in Central American countries with high levels of violence and trauma. Because of its profound transformative potential, character development is vital in these adverse contexts, particularly for youths. Led by the Salvadoran NGO Glasswing, this project aims to generate local evidence of the impact character development has on youth in high-risk environments. The team will conduct a youth-informed revision to Glasswing’s extracurricular club curricula and programming that integrates character development learning strategies.During a formative research phase, youths (ages 12-16) will identify character strengths they consider most important for their circumstances. As part of a randomized control trial, the team will then implement the new curricula in 8 of the 16 schools. They will evaluate the impact of the curricula on the chosen character strengths, as well as measures of well-being and academic performance. By generating evidence around high-impact interventions that include character development, the team aims to leverage partnerships with Ministries of Education to replicate, scale, and impact public education policy.",0362,https://www.templetonworldcharity.org/projects-database/building-local-case-character-development-high-conflict-settings-northern
"$303,726",Big Questions,,28 December 2018 - 27 December 2021,Asia,"Landauer’s Principle asserts that there is a minimum possible amount of work required to perform an irreversible computational task, such as erasing one bit of information. This lower limit is known as Landauer’s Limit. Based on this principle, a complex computation—comprised of simpler modular components—would require an amount of work equal to the sum of each component’s required work.Surprisingly, Alec Boyd from the Nanyang Technological University found that the modularity of these calculations yields excess work costs beyond those predicted by Landauer’s Principle. He refers to this as “modularity dissipation.” Thus, in addition to Landauer’s relationship between information and energy, complexity itself has real, well-defined energetic consequences.The current project will build on Boyd’s prior modularity dissipation results to understand how to mitigate these additional energy costs and design energetically efficient complex computations, illuminating thermodynamic structural principles of complex information processing.To understand fundamental inefficiencies in conventional computing, the project team will examine digital logic—composed of networks of modular elements—as well as modular thermodynamic computers. Beyond basic research insights into the foundational physical relationships between information, energy, and complexity, the outcomes of this project will also help engineers create better conventional computers at the nanoscale and better understand nature's nano-computing designs, as in living systems.​",0337,https://www.templetonworldcharity.org/projects-database/thermodynamics-computational-structure-complex-information-processing
"$9,000,000",Big Questions,,27 December 2018 - 26 December 2022,North America,"In recent decades, researchers have uncovered profound connections among information, computation, thermodynamics, and work extraction d in large-scale systems. Today, we can probe individual atoms and miniscule energy differences with remarkable precision. Such technologies have paved the way for similar advances in the field of non-equilibrium quantum thermodynamics.Large-scale systems such as steam engines use information to measure and control the flow of a fuel that produces energy to do work. But in non-equilibrium systems—particularly those at nano-scale—information doesn't control the fuel. Instead, it is a form of fuel itself. Taken to its logical conclusion, information could be converted into mechanical work as Maxwell and Szilard hypothesized in the 18th and 19th centuries.To promote rapid advancement in the field of non-equilibrium quantum thermodynamics, the Fundamental Questions Institute has established a grant program to fund experiments concerning the use of information as fuel in quantum and biological systems. These experiments will address information exchange on a level commensurate with energy, mass, charge, or other quantifiable factors described by the laws of thermodynamics. The researchers will explore questions about information not only in quantum theory but also on a broader philosophical level: How “real“ is information? Where is it held? How is it obtained by “observers,” utilized by “agents,” and related to subjective states such as ""understanding”?Results of the research will have major implications for how information itself is conceived as part of basic physical reality, and how the macroscopic world emerges from the quantum one, or vice versa. The program will consist of collaborations between experimenters and theorists, followed by a major conference and outreach efforts to disseminate the experimental designs and their results.​Image credit: Y. Beletsky (LCO)/ESO",0332,https://www.templetonworldcharity.org/projects-database/information-fuel-grant-program
"$188,327",Big Questions,,20 December 2018 - 19 December 2021,North America,"​​What uses of science and technology should be considered unethical? Whom should citizens trust to make decisions about their health? Who decides whether public funds should support access to family planning?Critical Approaches to Science and Religion addresses such pressing questions. Viewing science and religion as cultural resources, this project seeks to promote scholarship that will help global communities address these kinds of issues with sensitivity, thoughtfulness, and empathy.In both the past and presence, people have often framed “science” and “religion” as a pair of timeless epistemic inquiries. This project takes a different approach: focusing on the ways these knowledge systems affect—and are affected by—social trust and cultural legitimacy.In the modern world, both scientific knowledge and religious institutions crop up in debates over contentious topics like reproductive technologies, immigration policy, environmental protection, and healthcare. Science and religion scholars rarely address these kinds of issues. Instead, they take such approaches as making normative claims about the proper relationship between science and religion, or exploring their bearing on subjects such as cosmology.But understanding the history and contemporary ethics of these debates requires far more than normative claims, or even a recognition of the historically contingent nature of these categories Rather, it necessitates an understanding of science and religion that recognizes that their relationship is bound up in public and political authority. This project aims to reshape the study of science and religion through engagement with critical theories. Such an approach can help the field become more attentive to the pressing political questions that face contemporary communities.Outputs
Critical Approaches to Science and Religion will feature a symposium and edited volume to promote this perspective in the study of science and religion. It will also publicize this volume at two annual disciplinary conferences, as well as in other public and academic publications. To broaden the reach of this approach, the project will pilot a new curriculum program at Ohio University.",0347,https://www.templetonworldcharity.org/projects-database/critical-approaches-science-and-religion
"$1,000,000",Voluntary Family Planning,,20 December 2018 - 19 October 2021,North America,"Unintended pregnancy especially among adolescents, can have lifelong consequences for both mother and child, and is a major driver of poverty and social inequity. Data from the National Survey of Family Growth and Guttmacher Institute surveys found that 2.8 million of the 6.1 million pregnancies that occurred in the US in 2011 were unintended. About a million of these unintended pregnancies ended in abortion.This project aims to improve these statistics by ensuring that all women—even those lacking health care—can easily and affordably access oral contraception without a prescription. Cadence Health is a leading company pursuing the mission to make oral contraceptive more affordable and accessible. This project will support rigorous safety and acceptability studies required for registration.",0286,https://www.templetonworldcharity.org/projects-database/liberate-pill
"$252,234",Big Questions,,15 December 2018 - 14 December 2021,Europe,"Energy cannot be created or destroyed in a closed system; this is known as the conservation of energy, or the first law of thermodynamics. The second law of thermodynamics states that the entropy—the percentage of potential energy that is unavailable for conversion into work—of any such isolated system always increases. These laws hold true and are fundamental to the study of all macroscopic phenomena, from phase transitions to efficiency of heat engines.However, at the microscopic scale, the situation is slightly different. Rather than bodies of water, engines, and other large scale objects, the microscopic world is a swirling environment of atomic and subatomic particles. In this realm, the standard laws of thermodynamics are modified to take into account the unique behaviors of these micro-scale particles. In particular, the second law does not hold up in its macro-scale formulation. Calculations of entropy that do not take into account the information and control of particle dynamics are not accurate; the extracted information used to control the system has to be accounted for together with the entropy itself.Patrice Audibert Camati of the Centre National de la Recherche Scientifique (CNRF) will investigate the complex and multifaceted role that information itself plays in the nonequilibrium thermodynamics of quantum systems. The resulting theory of quantum thermodynamics of information will not only address the relation of information to energy and entropy, but connect information itself to non-intuitive quantum phenomena, such as interference, entanglement, and the strong influence of the external observer.This theory will elucidate how information is connected to fundamental physics as well as provide the mathematical tools to address the thermodynamics of second-generation quantum technologies, such as quantum computing and the quantum internet.",0338,https://www.templetonworldcharity.org/projects-database/information-nonequilibrium-quantum-thermodynamics
"$2,660,958",Big Questions,Diverse Intelligences,1 December 2018 - 30 November 2021,North America,"This project aims to build a community of practice in Diverse Intelligences (DI) in 3 ways:To pursue these goals, the project will spearhead 4 interlocking activities.Activity 1: The team will run annual, month-long iterations of the Diverse Intelligences Summer Institute (DISI). DISI aims to attract young scholars worldwide to the interdisciplinary study of intelligence, train them in cutting-edge methods, and inspire them to make bold connections.From 2019 to 2021, DISI will take place each summer at the University of St Andrews. With a roster of world-class faculty, DISI will recruit 40 risk-taking, open-minded academics from across disciplines, as well as 5 storytellers who will communicate DI themes through their creative work. Schedules will mix lectures with discussions on cross-cutting questions. Participants will develop interdisciplinary projects—key to generating new approaches to the study of DI.Each year, the directors will measure DISI's success in changing participants’ concepts of intelligence, and incubating interdisciplinary projects and novel collaborations.Activity 2: The DI Summit will run during a few days of DISI. On the first day, DI grantees will give updates on their research. The second day will focus on developing new collaborations. The third will focus on communicating DI work to the public. A subset of grantees will be invited to lecture at DISI.Activity 3: To connect minds across disciplines and generate new approaches, DISI will award Synthesis Prizes.Activity 4: To guide the community’s growth, the team will conduct a “science of science” project on the emerging field of DI. Using computer-readable records of scientific activity, they will map the social and conceptual structure of the disciplines within DI, tracing their evolution over time. They will also conduct a qualitative study of this emerging field and explore the effects of TWCF funding.",0333,https://www.templetonworldcharity.org/projects-database/building-community-practice-diverse-intelligences
"$329,846",Big Questions,,1 December 2018 - 30 November 2021,North America,"Transport phenomena—which concern the exchange of mass, energy, charge, momentum, and angular momentum between physical systems—are ubiquitous in science. In this project, Dr. Fabio Anza will tackle the issue of understanding their phenomenology and providing a unified theory to model their behaviour. This is a key step towards achieving an understanding of the dynamical behaviour of complex systems.Problematically, prevailing transport theories (charge, mass, spin and the like) rely heavily on the properties of the carriers. The result of this medium-dependent approach is a set of separate theories that share some elements, but lack a unifying structure. To create a unified theory of transport, Anza will exploit the universal character of information theory, making a concrete distinction between ""carriers of information"" (e.g. charge, mass or spin) and the underlying ""transport of information"" mediated by the carriers. Separating the information-carriers from the transportation of information will reveal the carrier-independent mechanisms which underlie transport.The tools from information theory will be combined with concepts and experimental results from computational mechanics, a theory that successfully describes how systems process information.",0336,https://www.templetonworldcharity.org/projects-database/information-transport-quantum-materials-harnessing-dynamics-master-physical
"$229,960",Big Questions,Diverse Intelligences,1 December 2018 - 31 July 2021,Europe,"While the impact of artificial intelligence (AI) will be dramatic across the globe, academic and public policy discourse concerning AI is dominated the United States and Europe. This is problematic because public perceptions of AI will largely determine how AI technology is developed, used, and regulated in different areas of the world. To create a more complete picture of how diverse cultures view the potential risks and benefits of AI, the Global AI Narratives (GAIN) project will collect and disseminate AI narratives from traditionally underrepresented regions.GAIN builds upon the work of the AI Narratives Project, a 2017 joint initiative of the Leverhulme Centre for the Future of Intelligence and the Royal Society. In previous work, the investigators found that the dominant Western Anglophone narratives tend to focus on anthropomorphised robots, ignoring the reality of the technology; limit representation to narrow demographic groups; and present excessive polarizing, distorting public policy debate. The GAIN project will move the conversation about AI beyond this limited vision by providing a platform for narratives that have the ability to diversify views on AI around the world.Outputs",0335,https://www.templetonworldcharity.org/projects-database/global-ai-narratives-reframing-current-artificial-intelligence-narratives-through
"$100,000",Big Questions,,15 October 2018 - 15 March 2019,North America,"Founded by Dr. Brie Linkenhoker, Worldview Studio is embarking upon a landscape analysis and community-building project to develop a “Consciousness Primer.” This primer will provide interested scholars with a user-friendly introduction that identifies several of the current major theories of consciousness and provides interviews with their key proponents to make these theories more accessible. In addition, the Worldview Studio team will identify 4-5 potential research areas within the Power of Minds space that are optimal targets for further activity. These research topics may be primed for additional scale either through additional research or by more widespread dissemination of current findings.Outputs",0346,https://www.templetonworldcharity.org/projects-database/scaling-engagement-science-consciousness-and-power-minds-projects
"$1,000,000",Genetics and Genius,,17 September 2018 - 16 September 2023,North America,"While the transformative power of genius is unquestionable, we do not have an effective, personalized strategies for finding exceptionally talented individuals around the world. We may be overlooking brilliant minds by restricting access to talent searches on the basis of geography, institutional affiliation, or the inability to pay for educational materials. To change this, Expii delivers rigorous free resources in science and math to students around the world on its user-friendly website. In addition to providing engaging lessons in science and math subjects, Expii also hosts challenges designed to identify and cultivate genius. Talent development is Expii’s core mission, and Expii leverages the proliferation of web and mobile technologies to democratize and personalize the process of educating and identifying potential geniuses.Anyone with an internet connection can climb the ladder of knowledge, encountering optimal-difficulty-level problems in each topic. As students advance, Expii’s Grandmaster algorithm will track their performance, allowing for the identification of potential genius on a fine-grained, per-topic basis. This system has the potential to gain widespread adoption and ultimately reshape global talent development itself with a worldview that embraces extraordinary accomplishment in each individual. In this project, Expii aims to scale up its offerings and infrastructure with the ultimate goal of expanding its reach.OutputsSuccess Metrics
The project’s effectiveness will be measured by tracking the number of unique visitors to the site and the Grandmaster scores of individual visitors. These scores will serve as indicators of each visitor’s cognitive and creative abilities.",0249,https://www.templetonworldcharity.org/projects-database/potential-all-us-identifying-and-cultivating-genius-worldwide-scale
"$204,995",Big Questions,Diverse Intelligences,3 September 2018 - 2 September 2021,Europe,"The ability to reason is a defining feature of human intelligence. Recently, reasoning has been redefined as a social skill, rather than an individual one, enabling people to justify and communicate their beliefs to reach joint decisions (Mercier & Sperber, 2011; Tomasello, 2014). Thus, human reasoning can best be observed through argumentation in the context of joint decision making. Here, the goal of the participants is to reach a decision that provides the greatest benefit to all while practicing the norms of reasoning (e.g., direct observation is more reliable than hearsay).An important window into human intelligence is the reasoning of children, who are not just “little adults” but have their own sense of reason and logic (Piaget, 1929). How children engage in argumentative discourse with peers has only been documented among school-age children (ages 11-12; Kuhn, 2001). But how young children’s reasoning ability emerges and changes across development has not received much attention.Here, we propose a series of studies that provides a developmental account of human reasoning in response to three main questions:1) Do children as young as two justify their actions and recognize their partner’s reasons in deciding a course of action?2) Do preschoolers engage in argumentative discourse with peers and practice the norms of reasoning to make correct joint decisions?3) Are there cross-linguistic differences in children’s understanding of the norms of reasoning (in some languages, for instance, speakers indicate whether they have actually witnessed a past event)?Overall, these studies will provide a window into a special form of human intelligence—children’s sense of reason and logic—and an account of ontogeny of human reasoning. The findings will be published and publicized in high-impact journals and prestigious conferences informing scientists and practitioners about how human intelligence can be observed in early ontogeny.",0261,https://www.templetonworldcharity.org/projects-database/human-intelligence-development-ontogeny-reasoning
"$336,156",Big Questions,Big Questions in Classrooms,1 September 2018 - 31 August 2021,Europe,"In the nineteenth century, British fossil collector Mary Anning made vital contributions to the emerging field of paleontology. Today, her remarkable life and discoveries can inspire students’ appreciation of the nature and process of scientific inquiry and the different contexts in which discoveries are made. Through studying Anning, they can also learn to draw connections between knowledge from science, history, and culture. The Association for Science Education (ASE) will produce a short cinematic-quality film about Anning and the big ideas of science, accompanying cross-disciplinary primary education materials, and teacher resources. By designing an immersive learning experience for primary school students, these materials will help them recreate the journey that scientists like her undertake as they make sense of the world. The bold cross-disciplinary approach of these resources will encourage a type of critical thinking and awareness among children that is seldom—if ever—addressed and developed in the current restrictively delineated approach to learning. We aim to inspire and assist children to start to ask and investigate the deepest and most urgent scientific, moral, social and political questions.Methodology and Outputs
The project consists of two main strands of activity. The first involves the production and refinement of teaching resources that help students tease out the interweaving elements that scientists navigate every day. These resources will include the following:We will test these resources with teachers and subject leaders from dozens of primary schools. Based on their feedback, we will refine the materials before distributing them widely after the project finishes. The second strand involves designing professional development activities for teachers guide their students through the materials from the first round, preparing them to tackle the questions students might ask during their learning activities. Feedback from these events will enable ASE to refine the teacher guidance pack that will be disseminated with the movie and student resources.Photo credit: berm_teerawat / Shutterstock.com ",0239,https://www.templetonworldcharity.org/projects-database/key-moments-history-fossil-hunters-story-teaching-resources-and-professional
"$469,354",Big Questions,Big Questions in Classrooms,1 September 2018 - 31 August 2021,Europe,"How and why did life originate? What is the universe? What is a person? And how do we know?By eliciting curiosity, such questions fuel students’ motivation to learn. And while religious education can encourage the exploration of larger, philosophical ideas, science lessons rarely do.To rectify this problem, this project seeks to examine the role that argumentation - forming claims based on logical and rational evidence - can play across subject areas.In scientific education, argumentation is a logical discourse aimed at finding relationships between ideas and evidence. It requires students to formulate and refine claims on the basis of scientific evidence.The study of religion involves rational discourse on the relationships between ideas and their justification. But while there is a solid body of research on argumentation in science education, there is currently no research on the practice in religious education. Argumentation is thus ripe for new research in the context of religious education.Methodology and Outputs
Over 36 months, this project will create a cross-curricular professional development program to nurture teachers’ pedagogical skills in teaching argumentation in science and religion. By helping their pupils form and compare complex judgments from different subjects, teachers can improve interdisciplinary learning and ignite curiosity about life’s big questions.Thirty pupils ages 11–14 from 15 schools will participate as pairs: one science and one RE teacher from each school. We will invite participants to six professional development workshops mediated by university researchers who are also teacher educators. Between each workshop, teachers will collaborate to make plan lessons that supplement their own subject curriculum objectives.To assess the impact of the intervention, we will gather data from participating teachers and students. Outputs will include research articles and resources for professional development, teaching, and learning. Ultimately, the project will create exemplary practices and benchmarks for enhancing argumentation in science and religious education.",0238,https://www.templetonworldcharity.org/projects-database/argumentation-science-and-religious-education-interdisciplinary-study-british
"$233,668",Big Questions,Diverse Intelligences,1 September 2018 - 31 August 2021,North America,"One ape offers an item to another—then snatches it away at the last second. Does either ape find it funny, even joyful?In her earlier work on orangutan gesture, Erica Cartmill noticed behavior that was part of a complex, multi-step game. In this project, Cartmill will investigate whether this game—and similar social play—should be considered a “proto-joke.”Humor is a complex, elusive phenomenon. It involves understanding others’ mental states and recognizing violations of typical rules of interaction. Deviations from the ordinary are central to the human experience of humor. Do apes create and appreciate similar moments of incongruity? And do those moments represent a form of humor?Cartmill will study the presence, perception, and effects of spontaneous joking games in orangutans and bonobos in three different contexts (zoo, sanctuary, and language-trained).Apes are excellent candidates in the search for non-human humor: they laugh, play with objects together, and have relatively sophisticated understandings of the expectations and knowledge of others. The project will have three parts:
(1) identifying potential instances of humor in the spontaneous interactions of apes and developing rigorous coding criteria for these events;
(2) testing apes’ appreciation for these events by measuring their viewing preferences across video of different types of social interactions;
(3) exploring the role of potentially humorous interactions in social bonding.While this work focuses on apes, it will generate coding criteria and experimental designs that can be applied to other social species. It will also produce a video corpus for study by the Diverse Intelligences community. Cartmill’s methods will help researchers recognize joking behavior and the experience of humor in the diverse intelligences that fill our planet.",0318,https://www.templetonworldcharity.org/projects-database/play-humor-and-joy-great-apes
"$233,455",Big Questions,Diverse Intelligences,1 September 2018 - 31 August 2021,Europe,"​Intelligence evolved to respond to the many problems that organisms face. Accordingly, intelligence can be defined based upon the problem-solving ability of organisms in variable environments.But the evolution of responses to variable environments does not require the cognition and learning of animals. Since the dawn of life, bacteria have dealt with fluctuating environments and life-or-death challenges. The result is a baroque network of molecular responses from the environments bacteria experience to the physiological responses that help them persist.While scientists have mapped out the details of the many bacterial regulatory networks, the evolutionary logic underlying the resulting responses receives little attention. And yet, these responses speak to the most primitive—and alternative—forms of “intelligence” generated by natural selection.The goal of this project is to build an evolutionary framework to understand such bacterial decision making. In particular, it will focus on one of the most important discriminations that organisms face: discerning friend from foe.Kevin Foster’s team will combine differential equation models, game theory, agent-based models, and machine learning to study the evolution of bacterial decisions across a diverse range of simulated challenges. Importantly, they will constrain models based on the known molecular biology of bacteria, exploring what can be achieved with their regulatory networks.The team’s goal is to publish the work in a series of high-profile papers that explore the limits—and heights—of problem solving in some of the earliest and simplest organisms on earth. They will compare the solutions achieved by bacterial regulatory systems to those achieved by models that allow the flexibility of animal intelligence. In this way, they seek to shed new light on the conditions that favor the evolution of intelligence.",0307,https://www.templetonworldcharity.org/projects-database/bacterial-regulatory-responses-and-deep-origins-intelligence
"$234,000",Big Questions,,1 September 2018 - 31 August 2020,North America,"A recent global survey suggests that most people consider romantic love to be their primary source of happiness. Barbara L. Fredrickson believes that love can be best defined in terms of small moments of shared positivity, and that this should, in fact, be the form of love that defines day-to-day life, and day-to-day joy. Positivity resonance, according to Fredrickson, is found in brief moments in which two or more people experience shared positive affect, mutual care and concern, or synchrony in behavior and biology. Her team has published an article showing that frequent positive resonance in daily life predict superior mental and physical health.Frederickson proposes an experiment to show that positivity resonance strengthens the self-transcendent virtues of spirituality, altruism, and humility, and reduces the self-centered vices of materialism, hostility, and entitlement. In this basic scientific experiment—a randomized controlled trial—she will test the effectiveness of a 28-day micro-intervention to increase perceived positivity resonance and self-transcendent virtues. At the conclusion of the experiment, her team will produce two or more empirical articles submitted to peer-reviewed scientific journals with corresponding presentations at scientific conferences, as well as a proposal for a further grant to develop and test a mobile app version of the micro-intervention.",0325,https://www.templetonworldcharity.org/projects-database/understanding-everyday-love-do-increases-positivity-resonance-increase-virtuous
"$233,896",Big Questions,,1 September 2018 - 31 August 2020,North America,"Scientists often assume that the best possible model of any physical system is the one that operates at the most fine-grained, detailed level. In the case of biology, this leads to a preference for chemical and cellular-level research, yielding a wealth of data about molecular states but few effective theories that explain high-level phenomena such as anatomical structure or the behavior of organisms.In developmental biology, this reductionist tendency can be found in the belief that organisms’ phenotypes are merely the deterministic results of their genes and that the underlying mechanism must be described molecularly. However, cells are often harnessed towards large-scale anatomical goals that are not defined at the level of cells or molecules (Levin, 2014; Lobo et al., 2014). The concept that these large-scale, observable outcomes have “emerged” has also been met with skepticism. Thus, a new model is required to fill the gap between molecular-level research and seemingly unsubstantiable theories concerning the development of higher-level outcomes.Recent empirical studies suggest that a framework drawing on information theory and causal modeling (Hoel 2017a; Hoel et al. 2013) may resolve these issues. For example, in their recent research into non-neuronal bioelectricity (Levin, 2017), Levin and Pezzulo demonstrated how cells and molecular structures encode and pursue such higher-level observable outcomes at a level outside traditional molecular or cellular research pathways.Building on these efforts, the project team will combine novel theoretical research into emergence with actual on-the-bench lab work. As theory informs experiment and vice-versa, this project will create a valuable feedback loop with empirical results in addition to theoretical modeling.​",0273,https://www.templetonworldcharity.org/projects-database/novel-theory-software-and-biological-strategies-targeting-multiple-levels
